id,assess,starttime,finishtime
311,3,10-Oct-11,10-Oct-11
312,3,9-Oct-11,9-Oct-11
313,3,9-Oct-11,9-Oct-11
314,3,12-Oct-11,12-Oct-11
315,3,9-Oct-11,9-Oct-11
316,3,12-Oct-11,12-Oct-11
317,3,9-Oct-11,9-Oct-11
318,3,9-Oct-11,9-Oct-11
319,3,10-Oct-11,12-Oct-11
320,3,,
321,3,9-Oct-11,9-Oct-11
322,3,9-Oct-11,9-Oct-11
323,3,12-Oct-11,12-Oct-11
324,3,10-Oct-11,10-Oct-11
325,3,10-Oct-11,11-Oct-11
326,3,9-Oct-11,9-Oct-11
327,3,9-Oct-11,9-Oct-11
328,3,,
329,3,12-Oct-11,12-Oct-11
330,3,9-Oct-11,9-Oct-11
331,3,9-Oct-11,9-Oct-11
332,3,,
333,3,,
334,3,11-Oct-11,11-Oct-11
335,3,9-Oct-11,9-Oct-11
336,3,,
337,3,9-Oct-11,9-Oct-11
338,3,9-Oct-11,9-Oct-11
339,3,9-Oct-11,9-Oct-11
340,3,9-Oct-11,9-Oct-11
341,3,9-Oct-11,9-Oct-11
342,3,9-Oct-11,9-Oct-11
343,3,9-Oct-11,9-Oct-11
344,3,9-Oct-11,9-Oct-11
345,3,9-Oct-11,9-Oct-11
346,3,11-Oct-11,11-Oct-11
347,3,9-Oct-11,9-Oct-11
348,3,9-Oct-11,9-Oct-11
349,3,11-Oct-11,11-Oct-11
350,3,10-Oct-11,10-Oct-11
351,3,10-Oct-11,10-Oct-11
352,3,9-Oct-11,9-Oct-11
353,3,10-Oct-11,10-Oct-11
354,3,9-Oct-11,9-Oct-11
355,3,9-Oct-11,9-Oct-11
356,3,9-Oct-11,9-Oct-11
357,3,11-Oct-11,11-Oct-11
358,3,9-Oct-11,9-Oct-11
359,3,,
360,3,10-Oct-11,10-Oct-11
361,3,9-Oct-11,9-Oct-11
362,3,9-Oct-11,9-Oct-11
363,3,12-Oct-11,12-Oct-11
364,3,9-Oct-11,9-Oct-11
365,3,9-Oct-11,9-Oct-11
366,3,9-Oct-11,9-Oct-11
367,3,,
368,3,11-Oct-11,11-Oct-11
369,3,9-Oct-11,9-Oct-11
370,3,17-Oct-11,17-Oct-11
371,3,9-Oct-11,9-Oct-11
372,3,9-Oct-11,9-Oct-11
373,3,10-Oct-11,10-Oct-11
374,3,9-Oct-11,9-Oct-11
375,3,9-Oct-11,9-Oct-11
376,3,11-Oct-11,11-Oct-11
377,3,9-Oct-11,9-Oct-11
378,3,,
379,3,9-Oct-11,9-Oct-11
380,3,,
381,3,9-Oct-11,9-Oct-11
