id,assess,starttime,finishtime
1,4,14-Nov-10,14-Nov-10
2,4,14-Nov-10,14-Nov-10
3,4,14-Nov-10,14-Nov-10
4,4,15-Nov-10,15-Nov-10
5,4,14-Nov-10,14-Nov-10
6,4,14-Nov-10,14-Nov-10
7,4,14-Nov-10,14-Nov-10
8,4,14-Nov-10,14-Nov-10
9,4,14-Nov-10,14-Nov-10
10,4,17-Nov-10,17-Nov-10
11,4,16-Nov-10,16-Nov-10
12,4,14-Nov-10,14-Nov-10
13,4,14-Nov-10,14-Nov-10
14,4,15-Nov-10,15-Nov-10
15,4,16-Nov-10,16-Nov-10
16,4,,
17,4,14-Nov-10,14-Nov-10
18,4,17-Nov-10,17-Nov-10
19,4,14-Nov-10,14-Nov-10
20,4,15-Nov-10,15-Nov-10
21,4,14-Nov-10,14-Nov-10
22,4,14-Nov-10,14-Nov-10
23,4,,
24,4,14-Nov-10,14-Nov-10
25,4,16-Nov-10,17-Nov-10
26,4,16-Nov-10,16-Nov-10
27,4,14-Nov-10,14-Nov-10
28,4,14-Nov-10,14-Nov-10
30,4,14-Nov-10,16-Nov-10
31,4,14-Nov-10,14-Nov-10
32,4,14-Nov-10,14-Nov-10
33,4,17-Nov-10,17-Nov-10
34,4,14-Nov-10,14-Nov-10
35,4,16-Nov-10,16-Nov-10
36,4,14-Nov-10,15-Nov-10
37,4,14-Nov-10,14-Nov-10
38,4,16-Nov-10,16-Nov-10
39,4,17-Nov-10,18-Nov-10
40,4,14-Nov-10,14-Nov-10
41,4,14-Nov-10,14-Nov-10
42,4,14-Nov-10,14-Nov-10
43,4,14-Nov-10,14-Nov-10
44,4,14-Nov-10,14-Nov-10
45,4,17-Nov-10,17-Nov-10
46,4,17-Nov-10,17-Nov-10
47,4,17-Nov-10,18-Nov-10
48,4,14-Nov-10,14-Nov-10
49,4,14-Nov-10,14-Nov-10
50,4,14-Nov-10,14-Nov-10
51,4,14-Nov-10,14-Nov-10
52,4,14-Nov-10,14-Nov-10
53,4,15-Nov-10,15-Nov-10
54,4,14-Nov-10,14-Nov-10
55,4,14-Nov-10,14-Nov-10
56,4,15-Nov-10,15-Nov-10
57,4,16-Nov-10,16-Nov-10
58,4,,
59,4,14-Nov-10,14-Nov-10
60,4,14-Nov-10,14-Nov-10
61,4,14-Nov-10,14-Nov-10
62,4,14-Nov-10,14-Nov-10
63,4,14-Nov-10,14-Nov-10
64,4,15-Nov-10,15-Nov-10
65,4,16-Nov-10,16-Nov-10
66,4,16-Nov-10,16-Nov-10
67,4,15-Nov-10,15-Nov-10
68,4,14-Nov-10,14-Nov-10
69,4,14-Nov-10,14-Nov-10
70,4,14-Nov-10,14-Nov-10
71,4,14-Nov-10,14-Nov-10
72,4,,
73,4,14-Nov-10,14-Nov-10
74,4,14-Nov-10,16-Nov-10
75,4,17-Nov-10,17-Nov-10
76,4,14-Nov-10,14-Nov-10
77,4,14-Nov-10,14-Nov-10
78,4,14-Nov-10,14-Nov-10
79,4,17-Nov-10,17-Nov-10
80,4,15-Nov-10,15-Nov-10
81,4,14-Nov-10,14-Nov-10
82,4,14-Nov-10,14-Nov-10
83,4,,
84,4,14-Nov-10,14-Nov-10
85,4,14-Nov-10,14-Nov-10
86,4,14-Nov-10,14-Nov-10
87,4,15-Nov-10,15-Nov-10
88,4,14-Nov-10,14-Nov-10
89,4,14-Nov-10,14-Nov-10
90,4,14-Nov-10,14-Nov-10
91,4,16-Nov-10,16-Nov-10
92,4,15-Nov-10,15-Nov-10
93,4,14-Nov-10,14-Nov-10
94,4,14-Nov-10,14-Nov-10
95,4,,
96,4,14-Nov-10,14-Nov-10
97,4,,
98,4,14-Nov-10,14-Nov-10
99,4,14-Nov-10,14-Nov-10
100,4,16-Nov-10,16-Nov-10
101,4,14-Nov-10,14-Nov-10
102,4,14-Nov-10,14-Nov-10
103,4,16-Nov-10,16-Nov-10
104,4,15-Nov-10,15-Nov-10
105,4,14-Nov-10,14-Nov-10
106,4,,
107,4,14-Nov-10,14-Nov-10
108,4,14-Nov-10,14-Nov-10
109,4,,
110,4,,
111,4,14-Nov-10,14-Nov-10
112,4,14-Nov-10,14-Nov-10
113,4,14-Nov-10,14-Nov-10
114,4,14-Nov-10,14-Nov-10
115,4,14-Nov-10,14-Nov-10
116,4,14-Nov-10,14-Nov-10
117,4,14-Nov-10,14-Nov-10
118,4,14-Nov-10,15-Nov-10
119,4,14-Nov-10,14-Nov-10
120,4,14-Nov-10,14-Nov-10
121,4,14-Nov-10,14-Nov-10
122,4,17-Nov-10,17-Nov-10
123,4,,
124,4,14-Nov-10,14-Nov-10
125,4,15-Nov-10,15-Nov-10
126,4,14-Nov-10,14-Nov-10
127,4,14-Nov-10,14-Nov-10
128,4,14-Nov-10,14-Nov-10
129,4,,
130,4,15-Nov-10,15-Nov-10
131,4,,
132,4,14-Nov-10,14-Nov-10
133,4,,
134,4,14-Nov-10,14-Nov-10
135,4,14-Nov-10,14-Nov-10
136,4,14-Nov-10,14-Nov-10
137,4,14-Nov-10,14-Nov-10
138,4,14-Nov-10,14-Nov-10
139,4,,
140,4,14-Nov-10,14-Nov-10
141,4,14-Nov-10,14-Nov-10
142,4,14-Nov-10,14-Nov-10
143,4,,
144,4,14-Nov-10,14-Nov-10
145,4,14-Nov-10,14-Nov-10
146,4,14-Nov-10,14-Nov-10
147,4,14-Nov-10,14-Nov-10
148,4,14-Nov-10,14-Nov-10
149,4,14-Nov-10,14-Nov-10
150,4,14-Nov-10,14-Nov-10
151,4,,
152,4,17-Nov-10,17-Nov-10
153,4,14-Nov-10,14-Nov-10
154,4,14-Nov-10,14-Nov-10
155,4,14-Nov-10,14-Nov-10
156,4,14-Nov-10,14-Nov-10
157,4,15-Nov-10,15-Nov-10
158,4,14-Nov-10,14-Nov-10
159,4,14-Nov-10,14-Nov-10
160,4,14-Nov-10,14-Nov-10
161,4,14-Nov-10,14-Nov-10
162,4,14-Nov-10,14-Nov-10
163,4,14-Nov-10,14-Nov-10
164,4,15-Nov-10,15-Nov-10
166,4,14-Nov-10,14-Nov-10
167,4,14-Nov-10,14-Nov-10
168,4,14-Nov-10,14-Nov-10
169,4,17-Nov-10,17-Nov-10
170,4,14-Nov-10,14-Nov-10
171,4,,
172,4,14-Nov-10,14-Nov-10
173,4,14-Nov-10,16-Nov-10
174,4,16-Nov-10,16-Nov-10
175,4,16-Nov-10,16-Nov-10
176,4,14-Nov-10,14-Nov-10
177,4,15-Nov-10,15-Nov-10
178,4,14-Nov-10,14-Nov-10
179,4,15-Nov-10,15-Nov-10
180,4,16-Nov-10,16-Nov-10
181,4,17-Nov-10,17-Nov-10
183,4,14-Nov-10,14-Nov-10
184,4,16-Nov-10,17-Nov-10
185,4,14-Nov-10,16-Nov-10
186,4,16-Nov-10,16-Nov-10
187,4,14-Nov-10,14-Nov-10
188,4,,
189,4,14-Nov-10,14-Nov-10
190,4,14-Nov-10,14-Nov-10
191,4,16-Nov-10,16-Nov-10
192,4,17-Nov-10,17-Nov-10
193,4,14-Nov-10,14-Nov-10
194,4,17-Nov-10,17-Nov-10
195,4,16-Nov-10,16-Nov-10
196,4,,
197,4,14-Nov-10,14-Nov-10
198,4,14-Nov-10,14-Nov-10
199,4,14-Nov-10,15-Nov-10
200,4,14-Nov-10,14-Nov-10
201,4,,
202,4,14-Nov-10,14-Nov-10
203,4,15-Nov-10,17-Nov-10
204,4,,
205,4,16-Nov-10,16-Nov-10
206,4,,
207,4,18-Nov-10,18-Nov-10
208,4,16-Nov-10,16-Nov-10
209,4,14-Nov-10,14-Nov-10
210,4,,
211,4,14-Nov-10,14-Nov-10
212,4,15-Nov-10,15-Nov-10
213,4,14-Nov-10,14-Nov-10
214,4,14-Nov-10,14-Nov-10
215,4,14-Nov-10,14-Nov-10
216,4,15-Nov-10,15-Nov-10
217,4,14-Nov-10,14-Nov-10
218,4,14-Nov-10,14-Nov-10
219,4,14-Nov-10,14-Nov-10
220,4,17-Nov-10,17-Nov-10
221,4,14-Nov-10,14-Nov-10
222,4,14-Nov-10,14-Nov-10
223,4,14-Nov-10,14-Nov-10
224,4,15-Nov-10,15-Nov-10
225,4,14-Nov-10,14-Nov-10
226,4,14-Nov-10,14-Nov-10
227,4,15-Nov-10,15-Nov-10
228,4,17-Nov-10,17-Nov-10
229,4,15-Nov-10,16-Nov-10
230,4,17-Nov-10,17-Nov-10
231,4,14-Nov-10,14-Nov-10
231,4,16-Nov-10,16-Nov-10
232,4,14-Nov-10,14-Nov-10
232,4,16-Nov-10,16-Nov-10
233,4,14-Nov-10,14-Nov-10
234,4,17-Nov-10,17-Nov-10
235,4,15-Nov-10,15-Nov-10
236,4,14-Nov-10,14-Nov-10
237,4,14-Nov-10,14-Nov-10
238,4,17-Nov-10,17-Nov-10
239,4,15-Nov-10,15-Nov-10
240,4,17-Nov-10,17-Nov-10
241,4,,
242,4,14-Nov-10,14-Nov-10
243,4,14-Nov-10,14-Nov-10
244,4,14-Nov-10,14-Nov-10
245,4,16-Nov-10,16-Nov-10
246,4,14-Nov-10,14-Nov-10
247,4,14-Nov-10,14-Nov-10
248,4,14-Nov-10,16-Nov-10
249,4,16-Nov-10,16-Nov-10
250,4,14-Nov-10,16-Nov-10
251,4,16-Nov-10,16-Nov-10
252,4,,
253,4,14-Nov-10,14-Nov-10
254,4,14-Nov-10,14-Nov-10
255,4,14-Nov-10,14-Nov-10
256,4,,
257,4,14-Nov-10,14-Nov-10
258,4,14-Nov-10,14-Nov-10
259,4,14-Nov-10,14-Nov-10
260,4,16-Nov-10,16-Nov-10
261,4,14-Nov-10,14-Nov-10
262,4,,
263,4,17-Nov-10,17-Nov-10
264,4,17-Nov-10,17-Nov-10
265,4,14-Nov-10,14-Nov-10
266,4,14-Nov-10,14-Nov-10
267,4,14-Nov-10,14-Nov-10
268,4,17-Nov-10,17-Nov-10
269,4,14-Nov-10,14-Nov-10
270,4,14-Nov-10,14-Nov-10
271,4,14-Nov-10,14-Nov-10
272,4,14-Nov-10,14-Nov-10
273,4,14-Nov-10,14-Nov-10
274,4,14-Nov-10,14-Nov-10
275,4,14-Nov-10,14-Nov-10
276,4,,
277,4,14-Nov-10,14-Nov-10
278,4,14-Nov-10,15-Nov-10
279,4,14-Nov-10,14-Nov-10
280,4,14-Nov-10,14-Nov-10
281,4,14-Nov-10,14-Nov-10
282,4,14-Nov-10,14-Nov-10
283,4,,
284,4,14-Nov-10,14-Nov-10
285,4,14-Nov-10,14-Nov-10
286,4,14-Nov-10,14-Nov-10
287,4,,
288,4,16-Nov-10,16-Nov-10
289,4,14-Nov-10,14-Nov-10
290,4,15-Nov-10,15-Nov-10
291,4,14-Nov-10,14-Nov-10
292,4,15-Nov-10,15-Nov-10
293,4,15-Nov-10,15-Nov-10
294,4,15-Nov-10,15-Nov-10
295,4,14-Nov-10,14-Nov-10
296,4,14-Nov-10,14-Nov-10
297,4,14-Nov-10,14-Nov-10
298,4,,
299,4,,
302,4,14-Nov-10,14-Nov-10
303,4,14-Nov-10,15-Nov-10
305,4,14-Nov-10,14-Nov-10
306,4,16-Nov-10,16-Nov-10
307,4,14-Nov-10,17-Nov-10
308,4,14-Nov-10,14-Nov-10
309,4,14-Nov-10,15-Nov-10
310,4,,
