id,assess,pro1,pro2,pro3
1,1,4,4,4
2,1,4,4,3
3,1,1,4,3
5,1,2,2,2
4,1,2,2,1
6,1,4,5,3
7,1,3,4,3
8,1,4,2,1
9,1,2,2,2
10,1,3,2,2
11,1,2,2,4
12,1,4,2,2
13,1,5,5,5
14,1,2,4,2
15,1,4,3,4
16,1,3,2,3
17,1,4,5,3
18,1,4,5,5
19,1,3,4,3
20,1,4,4,4
21,1,4,2,2
22,1,4,4,3
23,1,4,4,4
24,1,5,5,5
25,1,3,3,2
26,1,-999,-999,-999
27,1,4,2,2
28,1,5,5,5
29,1,3,2,1
30,1,4,3,4
33,1,2,2,2
32,1,4,4,3
31,1,2,2,2
34,1,5,1,2
35,1,3,3,3
36,1,3,2,2
37,1,4,3,2
38,1,2,1,2
39,1,4,5,4
40,1,5,5,5
41,1,4,5,5
42,1,1,1,1
43,1,5,4,3
44,1,4,4,4
45,1,1,1,1
46,1,4,4,3
47,1,5,5,5
48,1,3,3,3
49,1,4,4,4
50,1,3,3,1
51,1,4,2,2
52,1,4,5,5
53,1,2,2,2
54,1,2,4,2
55,1,4,4,4
56,1,5,2,2
57,1,5,5,4
58,1,-999,-999,-999
59,1,4,4,3
60,1,5,5,5
61,1,5,5,5
62,1,4,5,5
63,1,4,5,4
64,1,2,1,1
65,1,2,2,1
66,1,4,4,2
67,1,4,4,2
68,1,5,5,5
69,1,3,4,4
70,1,2,2,1
71,1,3,4,2
72,1,-999,-999,-999
73,1,4,4,4
74,1,3,3,3
75,1,2,1,2
76,1,2,3,2
77,1,5,3,2
78,1,4,4,3
79,1,2,2,4
80,1,4,5,3
81,1,2,2,2
82,1,5,1,1
83,1,-999,-999,-999
84,1,5,4,4
85,1,2,2,2
86,1,3,2,3
87,1,-999,-999,-999
88,1,4,4,4
89,1,3,1,1
90,1,2,2,2
91,1,3,4,2
92,1,3,2,4
93,1,4,4,4
94,1,3,2,3
95,1,5,5,5
96,1,1,1,1
97,1,4,4,2
98,1,2,3,3
99,1,3,2,1
100,1,2,2,1
101,1,3,4,2
102,1,4,5,3
103,1,4,4,4
104,1,3,4,4
105,1,4,2,2
106,1,2,1,1
107,1,4,5,3
108,1,2,4,4
109,1,2,2,1
110,1,-999,-999,-999
111,1,5,5,5
112,1,4,4,4
113,1,-999,-999,-999
114,1,4,4,4
115,1,3,2,2
116,1,2,1,3
117,1,4,4,2
118,1,-999,-999,-999
119,1,4,4,4
120,1,4,5,5
122,1,4,3,3
123,1,-999,-999,-999
124,1,4,4,4
125,1,2,1,2
126,1,4,4,4
127,1,2,2,3
128,1,2,1,1
129,1,3,3,3
130,1,5,5,5
131,1,-999,-999,-999
132,1,4,4,4
133,1,-999,-999,-999
134,1,-999,-999,-999
135,1,4,4,4
136,1,4,4,2
137,1,1,1,1
138,1,5,5,4
139,1,3,4,3
140,1,4,2,2
141,1,4,2,2
142,1,-999,-999,-999
143,1,-999,-999,-999
144,1,4,5,5
145,1,4,4,3
146,1,1,1,1
148,1,3,3,3
147,1,4,4,3
149,1,4,3,2
150,1,2,2,2
151,1,3,3,4
152,1,4,4,2
